species_old,species,Genus,Family,Order,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Rhodacanthis palmeri,Rhodacanthis_palmeri,Rhodacanthis,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,22.15,15.9,10.8,13.88,25.65,104.35,24.7,64.5,58.6,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Rhynochetos orarius,Rhynochetos_orarius,Rhynochetos,Rhynochetidae,Eurypygiformes,EURYPYGIFORMES,Rhynochetidae,Rhynochetos,56.42,33.28,8.12,14.86,25.28,204.25,34.37,146.38,797.94,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Chlorostilbon elegans,Riccordia_elegans,Riccordia,Trochilidae,Caprimulgiformes,APODIFORMES,Trochilidae,Chlorostilbon,22.16,18.8,2.01,2.07,4.86,52.5,33.69,37,4.75,EH,EH,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Sarcoramphus fisheri,Sarcoramphus_fisheri,Sarcoramphus,Cathartidae,Cathartiformes,ACCIPITRIFORMES,Cathartidae,Sarcoramphus,63.09,38.53,19.99,23.55,78.33,469.13,174.44,230.41,2527.65,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Sceloglaux albifacies,Sceloglaux_albifacies,Sceloglaux,Strigidae,Strigiformes,STRIGIFORMES,Strigidae,Ninox,31.38,15.73,9.54,13.68,69.17,252,69.52,138.5,600,EH,EH,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Scolopax anthonyi,Scolopax_anthonyi,Scolopax,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Scolopax,71.8,54.42,5.7,9.19,35.37,138.23,45.62,60.98,259.09,EP,EP,Yes,Hispaniola & Puerto Rico,18.622502,-69.234426,NA,NA,NA,NA,NA,NA
Scolopax brachycarpa,Scolopax_brachycarpa,Scolopax,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Scolopax,75.75,56.26,5.87,9.5,36.98,156.42,46.71,68.31,251.63,EP,EP,Yes,Hispaniola & Puerto Rico,18.622502,-69.234426,NA,NA,NA,NA,NA,NA
Scolopax sp./LongIsland,Scolopax_sp./LongIsland,Scolopax,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Scolopax,74.99,55.98,5.78,9.23,37.06,154.2,47.12,66.55,221.5,EPU,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Scytalopus sp./Cuba,Scytalopus_sp./Cuba,Scytalopus,Rhinocryptidae,Passeriformes,PASSERIFORMES,Rhinocryptidae,Scytalopus,16.49,8.63,3.74,4.43,26.69,66.61,5.95,51.74,33.93,EP,EP,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Siphonorhis daiquiri,Siphonorhis_daiquiri,Siphonorhis,Caprimulgidae,Caprimulgiformes,CAPRIMULGIFORMES,Caprimulgidae,Siphonorhis,17.37,8.42,6.71,4.23,20.37,144.91,40.78,109.85,55.27,EP,EP,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Spizaetus grinnelli,Spizaetus_grinnelli,Spizaetus,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Spizaetus,46.02,26.82,13.84,22.17,90.17,402.22,96.22,291.14,1226.93,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Spizaetus willetti,Spizaetus_willetti,Spizaetus,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Spizaetus,46.76,27.4,14.19,22.86,90.89,409.05,97.4,297.44,1332.48,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Steganopus graui,Steganopus_graui,Steganopus,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Steganopus,29.6,18.9,3.24,4.19,24.44,123.6,66.95,54.77,57.31,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Stephanoaetus mahery,Stephanoaetus_mahery,Stephanoaetus,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Stephanoaetus,58.35,35.06,17.97,28.71,98.8,491.94,127.48,340.91,3226.44,EP,EP,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Struthio anderssoni,Struthio_anderssoni,Struthio,Struthionidae,Struthioniformes,STRUTHIONIFORMES,Struthionidae,Struthio,119.66,38.19,37.21,25.87,506.65,350.57,0.53,308.38,135700,EP,EP,No,continental_Palearctic,57.499934,80.873219,NA,NA,NA,NA,NA,NA
Sylviornis neocaledoniae,Sylviornis_neocaledoniae,Sylviornis,Sylviornithidae,Galliformes,GALLIFORMES,Extinct,Extinct,93.2,50.77,25.44,38.76,169.53,563.65,49.41,421.3,40000,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Syrigma sanctimartini,Syrigma_sanctimartini,Syrigma,Ardeidae,Pelecaniformes,PELECANIFORMES,Ardeidae,Syrigma,70.86,47.27,10.48,13.82,78.56,267.06,81.88,104.7,463,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Tachornis uranoceles,Tachornis_uranoceles,Tachornis,Apodidae,Caprimulgiformes,APODIFORMES,Apodidae,Tachornis,5.28,2.36,1.9,1.64,6.78,83.1,57.63,48.42,9.25,EPU,EP,Yes,Hispaniola & Puerto Rico,18.622502,-69.234426,NA,NA,NA,NA,NA,NA
Tachybaptus rufolavatus,Tachybaptus_rufolavatus,Tachybaptus,Podicipedidae,Podicipediformes,PODICIPEDIFORMES,Podicipedidae,Tachybaptus,28.3,16,4.35,6.25,34.38,87,30.38,24.25,188.86,EH,EH,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Tachycineta speleodytes,Tachycineta_speleodytes,Tachycineta,Hirundinidae,Passeriformes,PASSERIFORMES,Hirundinidae,Tachycineta,10.64,5.44,3.9,2.96,11.27,99.74,53.66,58.94,17.94,EPU,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Tadorna sp./Chatham,Tadorna_sp./Chatham,Tadorna,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Tadorna,53.39,31.61,18.97,16.29,61.96,341.17,157.99,124.58,1695,EP,EP,Yes,New Zealand Outlying Islands (East),-47.757303,179.03928,NA,NA,NA,NA,NA,NA
Talpanas lippa,Talpanas_lippa,Talpanas,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Extinct,37.7,23.27,14.45,12.21,34.37,205.91,93.58,74.49,695.47,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Telespiza aff.ypsilon,Telespiza_aff.ypsilon,Telespiza,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Telespiza,14.05,9.54,6.48,8.73,20.76,72.21,14.48,56.83,26.7,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Telespiza persecutrix,Telespiza_persecutrix,Telespiza,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Telespiza,14.26,9.63,6.53,8.8,21.14,73.55,14.75,58.18,27.29,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Telespiza ypsilon,Telespiza_ypsilon,Telespiza,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Telespiza,12.91,8.7,6.13,8.24,19.78,68.12,13.95,53.81,23.53,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Teratornis merriami,Teratornis_merriami,Teratornis,Teratornithidae,Cathartiformes,ACCIPITRIFORMES,Extinct,Extinct,115.89,68.9,28.68,37.79,136.67,771.05,197.34,474.85,15000,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Teratornis woodburnensis,Teratornis_woodburnensis,Teratornis,Teratornithidae,Cathartiformes,ACCIPITRIFORMES,Extinct,Extinct,109.73,65.19,27.33,35.88,130.13,730.78,187.31,450.57,11401.79,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Tetrastes daliannsis,Tetrastes_daliannsis,Tetrastes,Phasianidae,Galliformes,GALLIFORMES,Phasianidae,Bonasa,27.05,13.92,8.56,9.19,47.5,188.26,42.93,117.32,508.1,EP,EP,No,continental_Palearctic,57.499934,80.873219,NA,NA,NA,NA,NA,NA
Thambetochen chauliodous,Thambetochen_chauliodous,Thambetochen,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Extinct,95.96,67.13,34.78,27.33,82.82,377.32,100.24,204.77,6225.5,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Thambetochen xanion,Thambetochen_xanion,Thambetochen,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Extinct,96.76,66.91,35.03,29.43,86.3,431.99,123.99,202.34,8425.1,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Theristicus wetmorei,Theristicus_wetmorei,Theristicus,Threskiornithidae,Pelecaniformes,PELECANIFORMES,Threskiornithidae,Theristicus,136.75,106.33,13.4,17.37,76.56,363.36,135.09,171.18,1496,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Thinocorus koepckeae,Thinocorus_koepckeae,Thinocorus,Thinocoridae,Charadriiformes,CHARADRIIFORMES,Thinocoridae,Thinocorus,14.48,7.93,4.91,5.53,18.83,121.41,55.51,54.58,72.57,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Threskiornis solitarius,Threskiornis_solitarius,Threskiornis,Threskiornithidae,Pelecaniformes,PELECANIFORMES,Threskiornithidae,Threskiornis,161.43,129.45,16.65,24.46,92.37,374.36,139.46,145.4,1838.14,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Titanohierax gloveralleni,Titanohierax_gloveralleni,Titanohierax,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Extinct,63.71,38.45,19.24,29.54,102.54,551.65,181.85,340.79,7300,EPU,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Todiramphus cinnamominus,Todiramphus_cinnamominus,Todiramphus,Alcedinidae,Coraciiformes,CORACIIFORMES,Alcedinidae,Todiramphus,44.4,36.1,13.3,11.7,16.8,94,19,70,62.2,EW,EW,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Traversia lyalli,Traversia_lyalli,Traversia,Acanthisittidae,Passeriformes,PASSERIFORMES,Acanthisittidae,Extinct,15.25,8.52,3.15,3.32,21.85,47.44,5.57,26.7,22,EH,EH,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Tribonyx hodgenorum,Tribonyx_hodgenorum,Tribonyx,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Gallinula,24.41,12.43,5.16,8.32,45.53,151.25,27.76,67.92,280,EH,EH,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Tringa ameghini,Tringa_ameghini,Tringa,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Tringa,46.48,30.81,3.59,4.99,39.99,150.56,76.61,61.32,97.45,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Turdus ravidus,Turdus_ravidus,Turdus,Turdidae,Passeriformes,PASSERIFORMES,Turdidae,Turdus,29.14,17.54,5.76,7.6,38.92,128.25,27.1,128,100.77,EH,EH,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Turdus sp./Azores,Turdus_sp./Azores,Turdus,Turdidae,Passeriformes,PASSERIFORMES,Turdidae,Turdus,24.31,14.02,5.27,6.38,32.29,122.54,28.56,94.44,72.9,EP,EP,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
Turdus sp./Canaries,Turdus_sp./Canaries,Turdus,Turdidae,Passeriformes,PASSERIFORMES,Turdidae,Turdus,24.37,14.09,5.28,6.39,32.3,123.17,28.85,94.51,72.9,EP,EP,Yes,Canary Islands,28.004018,-15.596451,NA,NA,NA,NA,NA,NA
Turdus sp./Madeira,Turdus_sp./Madeira,Turdus,Turdidae,Passeriformes,PASSERIFORMES,Turdidae,Turdus,27.97,16.15,5.98,7.35,36.69,140.08,31.95,107.66,143,EP,EP,Yes,Madeira,32.764014,-16.932176,NA,NA,NA,NA,NA,NA
Turnagra capensis,Turnagra_capensis,Turnagra,Oriolidae,Passeriformes,PASSERIFORMES,Oriolidae,Extinct,25.01,13.16,7.55,9.91,37.83,120.75,21.88,114.62,130,EH,EH,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Turnagra tanagra,Turnagra_tanagra,Turnagra,Oriolidae,Passeriformes,PASSERIFORMES,Oriolidae,Extinct,28.89,16.33,8.62,12.59,39.51,112,24.61,109,130,EH,EH,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Turnix sp./Timor,Turnix_sp./Timor,Turnix,Turnicidae,Charadriiformes,CHARADRIIFORMES,Turnicidae,Turnix,14.51,7.73,3.31,4.96,21.57,85.08,25.45,33.2,62.77,EP,EP,Yes,Lesser Sunda Islands,-8.53635,119.394501,NA,NA,NA,NA,NA,NA
Tympanuchus ceres,Tympanuchus_ceres,Tympanuchus,Phasianidae,Galliformes,GALLIFORMES,Phasianidae,Tympanuchus,25.81,13.05,9.13,9.71,44.79,222.53,73.68,113.76,786.54,EPU,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Tyto cavatica,Tyto_cavatica,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,32.69,17.92,8.49,14.26,62.17,254.24,75.23,109.08,432.7,EP,EP,Yes,Hispaniola & Puerto Rico,18.622502,-69.234426,NA,NA,NA,NA,NA,NA
Tyto cravesae,Tyto_cravesae,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,42.41,23.25,10.88,19.01,81.79,333.8,89.25,138.91,914.33,EP,EP,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Tyto letocarti,Tyto_letocarti,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,33.65,18.54,8.81,14.93,64.2,260.63,76.86,112.46,490.52,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Tyto noeli,Tyto_noeli,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,39.19,21.6,10.23,17.64,76.17,307.79,86.14,124.35,753.86,EP,EP,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Tyto ostologa,Tyto_ostologa,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,43.66,24,11.2,19.79,83.75,342.08,91.92,145.49,1033.28,EP,EP,Yes,Hispaniola & Puerto Rico,18.622502,-69.234426,NA,NA,NA,NA,NA,NA
Tyto pollens,Tyto_pollens,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,41.99,23.13,10.83,18.97,81.58,329.08,89.92,140.65,919.94,EP,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Tyto sp./Flores,Tyto_sp./Flores,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,35.9,19.65,9.26,15.88,68.58,278.41,80.43,120.34,582.09,EP,EP,Yes,Lesser Sunda Islands,-8.53635,119.394501,NA,NA,NA,NA,NA,NA
Tyto sp./NewIreland1,Tyto_sp./NewIreland1,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,32.8,17.91,8.55,14.45,62.66,256.01,75.75,110.18,403.3,EP,EP,Yes,Bismarck Archipelago,-5.6367,151.116865,NA,NA,NA,NA,NA,NA
Tyto sp./NewIreland2,Tyto_sp./NewIreland2,Tyto,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,Tyto,35.44,19.36,9.13,15.6,67.44,273.81,79.52,118.54,631.9,EP,EP,Yes,Bismarck Archipelago,-5.6367,151.116865,NA,NA,NA,NA,NA,NA
Tytonidae sp./EasterIsland,Tytonidae_sp./EasterIsland,Tytonidae,Tytonidae,Strigiformes,STRIGIFORMES,Tytonidae,NA,33.78,18.44,8.45,14.29,59.03,248.32,60.91,120.69,413.4,EP,EP,Yes,Easter Island,-27.098473,-109.357475,NA,NA,NA,NA,NA,NA
Upupa antaios,Upupa_antaios,Upupa,Upupidae,Bucerotiformes,BUCEROTIFORMES,Upupidae,Upupa,57.51,43.87,6.42,8.04,22.79,128.09,30.68,109.72,81.34,EH,EH,Yes,Saint Helena,-15.963769,-5.707724,NA,NA,NA,NA,NA,NA
Urile perspicillatus,Urile_perspicillatus,Urile,Phalacrocoracidae,Suliformes,SULIFORMES,Phalacrocoracidae,Phalacrocorax,89.72,26.86,8.31,18.21,75.04,340,93.07,185,6400,EH,EH,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Vanellus madagascariensis,Vanellus_madagascariensis,Vanellus,Charadriidae,Charadriiformes,CHARADRIIFORMES,Charadriidae,Vanellus,34.07,17.93,5.02,6.05,65.23,213.41,88.66,92.67,223.66,EP,EP,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Vangulifer mirandus,Vangulifer_mirandus,Vangulifer,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,16.64,10.74,5.74,7.29,20.32,83.46,20.5,59.28,25.87,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Vangulifer neophasis,Vangulifer_neophasis,Vangulifer,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,17.62,11.5,6.04,7.66,20.91,86.36,20.98,61.32,27.97,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Viator picis,Viator_picis,Viator,Charadriidae,Charadriiformes,CHARADRIIFORMES,Charadriidae,Extinct,26.29,14.5,3.95,4.8,36.15,146.87,67.58,67.31,95,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Vini sinotoi,Vini_sinotoi,Vini,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Vini,17.94,12.78,8.09,12.63,16.11,114.9,50.31,89.97,113.29,EP,EP,Yes,Marquesas,-9.555453,-139.438929,Society Islands,-17.208191,-151.278983,NA,NA,NA
Vini sp./Guam,Vini_sp./Guam,Vini,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Vini,15.41,10.92,6.89,10.48,14.11,103.23,47.06,71.56,40,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Vini vidivici,Vini_vidivici,Vini,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Vini,17.33,12.95,8.06,12.52,15.31,115.4,51.49,83.76,96.17,EP,EP,Yes,Marquesas,-9.555453,-139.438929,Society Islands,-17.208191,-151.278983,Cook Islands,-20.219417,-158.905882
Viridonia sagittirostris,Viridonia_sagittirostris,Viridonia,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Hemignathus,14.45,9.32,4.93,6.14,22.2,65.95,14.96,42,13.35,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Vitirallus watlingi,Vitirallus_watlingi,Vitirallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Extinct,43.52,24.05,5.83,10.81,60.29,180.31,26.42,78.33,450.61,EP,EP,Yes,Fiji Islands,-17.839196,179.456641,NA,NA,NA,NA,NA,NA
Vorombe titan,Vorombe_titan,Vorombe,Aepyornithidae,Aepyornithiformes,Extinct,Extinct,Extinct,189.4,75,44.88,46.75,432.74,524.67,16.38,235.42,642900,EP,EP,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Wingegyps cartellei,Wingegyps_cartellei,Wingegyps,Cathartidae,Cathartiformes,ACCIPITRIFORMES,Cathartidae,Extinct,57.71,32.54,15.8,18.19,75.1,410.02,120.24,217.62,2007.44,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Xenicibis xympithecus,Xenicibis_xympithecus,Xenicibis,Threskiornithidae,Pelecaniformes,PELECANIFORMES,Threskiornithidae,Extinct,161.2,122.23,15.16,21.05,97.93,348.58,91.87,171.11,1798.33,EPU,EP,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Xenicus longipes,Xenicus_longipes,Xenicus,Acanthisittidae,Passeriformes,PASSERIFORMES,Acanthisittidae,Xenicus,15.53,8.05,3.1,2.88,25.73,56.38,5.82,24.5,17,EH,EH,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Xenorhynchopsis minor,Xenorhynchopsis_minor,Xenorhynchopsis,Phoenicopteridae,Phoenicopteriformes,PHOENICOPTERIFORMES,Phoenicopteridae,Extinct,101.75,75.53,19.83,29.28,171.63,377.58,131.78,148.06,1891.62,EPU,EP,No,continental_Australasia,-24.306003,133.573578,NA,NA,NA,NA,NA,NA
Xenorhynchopsis tibialis,Xenorhynchopsis_tibialis,Xenorhynchopsis,Phoenicopteridae,Phoenicopteriformes,PHOENICOPTERIFORMES,Phoenicopteridae,Extinct,108.87,80.9,21.08,31.52,185.18,404.58,138.31,159.65,2322.75,EPU,EP,No,continental_Australasia,-24.306003,133.573578,NA,NA,NA,NA,NA,NA
Xestospiza conica,Xestospiza_conica,Xestospiza,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,17.76,11.92,6.26,7.77,21.31,84.5,19.48,59.89,27.18,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Xestospiza fastiglialis,Xestospiza_fastiglialis,Xestospiza,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Extinct,16.2,10.78,5.89,7.32,20.64,80.4,18.53,56.74,24.13,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia astrictocarpus,Zapornia_astrictocarpus,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,20.14,11.71,2.92,5.46,28.18,85.05,20.22,34.56,53.27,EH,EH,Yes,Saint Helena,-15.963769,-5.707724,NA,NA,NA,NA,NA,NA
Zapornia keplerorum,Zapornia_keplerorum,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,17.46,10.21,2.59,4.8,23.63,74.11,17.03,30.8,35.81,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia menehune,Zapornia_menehune,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,15.02,8.81,2.31,4.15,20.39,62.81,16.41,27.92,26.73,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia monasa,Zapornia_monasa,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,21.18,12.25,3.02,5.62,31.44,90.04,21.47,37.98,60.43,EH,EH,Yes,Caroline Islands,6.99127,154.78056,NA,NA,NA,NA,NA,NA
Zapornia nigra,Zapornia_nigra,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,21.52,12.39,3.05,5.65,31.08,91.28,21.73,38.01,60,EH,EH,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Zapornia palmeri,Zapornia_palmeri,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,21.62,11.57,2.83,5.03,23.35,59.55,15.07,23.35,46.3,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia piercei,Zapornia_piercei,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,18.46,10.79,2.74,5,25.38,78.87,20.69,32.17,42.27,EPU,EP,Yes,Bermuda,32.312663,-64.741509,NA,NA,NA,NA,NA,NA
Zapornia ralphorum,Zapornia_ralphorum,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,22.36,12.97,3.21,6.06,33.14,93.87,22.17,38.95,74.3,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia rua,Zapornia_rua,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,16.87,9.43,2.49,4.6,27.53,68.3,16.07,28.42,28.17,EP,EP,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
Zapornia sandwichensis,Zapornia_sandwichensis,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,19.05,10.1,2.48,4.5,27.94,68.58,16.98,13.97,33.98,EH,EH,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia severnsi,Zapornia_severnsi,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,24.01,13.81,3.33,6.38,35.15,101.57,21.62,41.28,81.05,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia sp./Aguijan,Zapornia_sp./Aguijan,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,18.06,10.36,2.6,4.72,26.38,76.4,18.67,31.7,35,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zapornia sp./EasterIsland,Zapornia_sp./EasterIsland,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,21.85,12.57,3.09,5.75,31.53,92.71,22.12,38.67,67.35,EP,EP,Yes,Easter Island,-27.098473,-109.357475,NA,NA,NA,NA,NA,NA
Zapornia sp./Guam,Zapornia_sp./Guam,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,17.96,10.3,2.59,4.71,26.37,76.34,18.69,31.87,35,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Zapornia sp./HawaiiLarge,Zapornia_sp./HawaiiLarge,Zapornia,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,23.46,13.49,3.32,6.24,33.22,98.8,22.86,41.18,75.94,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
